university,province,subject_type,year,min_score,min_rank
北京大学,北京,理科,2024,683,160,690
北京大学,北京,理科,2023,680,175,687
北京大学,北京,理科,2022,678,185,685
北京大学,北京,文科,2024,668,85,676
北京大学,北京,文科,2023,665,92,673
北京大学,北京,文科,2022,663,98,671
北京大学,广东,物理,2024,678,190,686
北京大学,广东,物理,2023,675,205,683
北京大学,广东,物理,2022,673,215,681
北京大学,浙江,综合,2024,688,130,696
北京大学,浙江,综合,2023,685,145,693
北京大学,浙江,综合,2022,683,155,691
北京大学,山东,综合,2024,680,170,688
北京大学,山东,综合,2023,677,185,685
北京大学,山东,综合,2022,675,195,683
北京大学,湖北,物理,2024,676,180,684
北京大学,湖北,物理,2023,673,195,681
北京大学,湖北,物理,2022,671,205,679
北京大学,四川,理科,2024,686,140,693
北京大学,四川,理科,2023,683,155,690
北京大学,四川,理科,2022,681,165,688
清华大学,北京,理科,2024,686,130,693
清华大学,北京,理科,2023,683,145,690
清华大学,北京,理科,2022,681,155,688
清华大学,广东,物理,2024,681,160,689
清华大学,广东,物理,2023,678,175,686
清华大学,广东,物理,2022,676,185,684
清华大学,浙江,综合,2024,691,110,699
清华大学,浙江,综合,2023,688,125,696
清华大学,浙江,综合,2022,686,135,694
清华大学,山东,综合,2024,683,150,691
清华大学,山东,综合,2023,680,165,688
清华大学,山东,综合,2022,678,175,686
清华大学,湖北,物理,2024,679,160,687
清华大学,湖北,物理,2023,676,175,684
清华大学,湖北,物理,2022,674,185,682
清华大学,四川,理科,2024,688,120,696
清华大学,四川,理科,2023,685,135,693
清华大学,四川,理科,2022,683,145,691
复旦大学,北京,理科,2024,673,310,680
复旦大学,北京,理科,2023,670,330,677
复旦大学,北京,理科,2022,668,345,675
复旦大学,广东,物理,2024,668,360,676
复旦大学,广东,物理,2023,665,380,673
复旦大学,广东,物理,2022,663,395,671
复旦大学,浙江,综合,2024,678,260,686
复旦大学,浙江,综合,2023,675,280,683
复旦大学,浙江,综合,2022,673,295,681
复旦大学,山东,综合,2024,670,330,678
复旦大学,山东,综合,2023,667,350,675
复旦大学,山东,综合,2022,665,365,673
复旦大学,湖北,物理,2024,666,370,674
复旦大学,湖北,物理,2023,663,390,671
复旦大学,湖北,物理,2022,661,405,669
复旦大学,四川,理科,2024,676,290,683
复旦大学,四川,理科,2023,673,310,680
复旦大学,四川,理科,2022,671,325,678
上海交通大学,北京,理科,2024,671,330,678
上海交通大学,北京,理科,2023,668,350,675
上海交通大学,北京,理科,2022,666,365,673
上海交通大学,广东,物理,2024,666,380,674
上海交通大学,广东,物理,2023,663,400,671
上海交通大学,广东,物理,2022,661,415,669
上海交通大学,浙江,综合,2024,676,280,684
上海交通大学,浙江,综合,2023,673,300,681
上海交通大学,浙江,综合,2022,671,315,679
上海交通大学,山东,综合,2024,668,350,676
上海交通大学,山东,综合,2023,665,370,673
上海交通大学,山东,综合,2022,663,385,671
上海交通大学,湖北,物理,2024,664,390,672
上海交通大学,湖北,物理,2023,661,410,669
上海交通大学,湖北,物理,2022,659,425,667
上海交通大学,四川,理科,2024,674,310,681
上海交通大学,四川,理科,2023,671,330,678
上海交通大学,四川,理科,2022,669,345,676
浙江大学,北京,理科,2024,668,360,675
浙江大学,北京,理科,2023,665,380,672
浙江大学,北京,理科,2022,663,395,670
浙江大学,广东,物理,2024,663,410,671
浙江大学,广东,物理,2023,660,430,668
浙江大学,广东,物理,2022,658,445,666
浙江大学,浙江,综合,2024,673,310,681
浙江大学,浙江,综合,2023,670,330,678
浙江大学,浙江,综合,2022,668,345,676
浙江大学,山东,综合,2024,665,380,673
浙江大学,山东,综合,2023,662,400,670
浙江大学,山东,综合,2022,660,415,668
浙江大学,湖北,物理,2024,661,420,669
浙江大学,湖北,物理,2023,658,440,666
浙江大学,湖北,物理,2022,656,455,664
浙江大学,四川,理科,2024,671,340,678
浙江大学,四川,理科,2023,668,360,675
浙江大学,四川,理科,2022,666,375,673
南京大学,北京,理科,2024,663,430,670
南京大学,北京,理科,2023,660,450,667
南京大学,北京,理科,2022,658,465,665
南京大学,广东,物理,2024,658,470,666
南京大学,广东,物理,2023,655,490,663
南京大学,广东,物理,2022,653,505,661
南京大学,浙江,综合,2024,668,370,676
南京大学,浙江,综合,2023,665,390,673
南京大学,浙江,综合,2022,663,405,671
南京大学,山东,综合,2024,660,450,668
南京大学,山东,综合,2023,657,470,665
南京大学,山东,综合,2022,655,485,663
南京大学,湖北,物理,2024,656,490,664
南京大学,湖北,物理,2023,653,510,661
南京大学,湖北,物理,2022,651,525,659
南京大学,四川,理科,2024,666,400,673
南京大学,四川,理科,2023,663,420,670
南京大学,四川,理科,2022,661,435,668
武汉大学,北京,理科,2024,653,610,660
武汉大学,北京,理科,2023,650,640,657
武汉大学,北京,理科,2022,648,660,655
武汉大学,广东,物理,2024,648,660,656
武汉大学,广东,物理,2023,645,690,653
武汉大学,广东,物理,2022,643,710,651
武汉大学,浙江,综合,2024,658,510,666
武汉大学,浙江,综合,2023,655,540,663
武汉大学,浙江,综合,2022,653,560,661
武汉大学,山东,综合,2024,650,630,658
武汉大学,山东,综合,2023,647,660,655
武汉大学,山东,综合,2022,645,680,653
武汉大学,湖北,物理,2024,646,690,654
武汉大学,湖北,物理,2023,643,720,651
武汉大学,湖北,物理,2022,641,740,649
武汉大学,四川,理科,2024,656,560,663
武汉大学,四川,理科,2023,653,590,660
武汉大学,四川,理科,2022,651,610,658
华中科技大学,北京,理科,2024,650,660,657
华中科技大学,北京,理科,2023,647,690,654
华中科技大学,北京,理科,2022,645,710,652
华中科技大学,广东,物理,2024,645,710,653
华中科技大学,广东,物理,2023,642,740,650
华中科技大学,广东,物理,2022,640,760,648
华中科技大学,浙江,综合,2024,655,550,663
华中科技大学,浙江,综合,2023,652,580,660
华中科技大学,浙江,综合,2022,650,600,658
华中科技大学,山东,综合,2024,647,680,655
华中科技大学,山东,综合,2023,644,710,652
华中科技大学,山东,综合,2022,642,730,650
华中科技大学,湖北,物理,2024,643,730,651
华中科技大学,湖北,物理,2023,640,760,648
华中科技大学,湖北,物理,2022,638,780,646
华中科技大学,四川,理科,2024,653,610,660
华中科技大学,四川,理科,2023,650,640,657
华中科技大学,四川,理科,2022,648,660,655
中山大学,北京,理科,2024,646,730,653
中山大学,北京,理科,2023,643,760,650
中山大学,北京,理科,2022,641,780,648
中山大学,广东,物理,2024,641,790,649
中山大学,广东,物理,2023,638,820,646
中山大学,广东,物理,2022,636,840,644
中山大学,浙江,综合,2024,651,610,659
中山大学,浙江,综合,2023,648,640,656
中山大学,浙江,综合,2022,646,660,654
中山大学,山东,综合,2024,643,750,651
中山大学,山东,综合,2023,640,780,648
中山大学,山东,综合,2022,638,800,646
中山大学,湖北,物理,2024,639,810,647
中山大学,湖北,物理,2023,636,840,644
中山大学,湖北,物理,2022,634,860,642
中山大学,四川,理科,2024,649,670,656
中山大学,四川,理科,2023,646,700,653
中山大学,四川,理科,2022,644,720,651
哈尔滨工业大学,北京,理科,2024,643,790,650
哈尔滨工业大学,北京,理科,2023,640,820,647
哈尔滨工业大学,北京,理科,2022,638,840,645
哈尔滨工业大学,广东,物理,2024,638,840,646
哈尔滨工业大学,广东,物理,2023,635,870,643
哈尔滨工业大学,广东,物理,2022,633,890,641
哈尔滨工业大学,浙江,综合,2024,648,660,656
哈尔滨工业大学,浙江,综合,2023,645,690,653
哈尔滨工业大学,浙江,综合,2022,643,710,651
哈尔滨工业大学,山东,综合,2024,640,810,648
哈尔滨工业大学,山东,综合,2023,637,840,645
哈尔滨工业大学,山东,综合,2022,635,860,643
哈尔滨工业大学,湖北,物理,2024,636,870,644
哈尔滨工业大学,湖北,物理,2023,633,900,641
哈尔滨工业大学,湖北,物理,2022,631,920,639
哈尔滨工业大学,四川,理科,2024,646,730,653
哈尔滨工业大学,四川,理科,2023,643,760,650
哈尔滨工业大学,四川,理科,2022,641,780,648
西安交通大学,北京,理科,2024,640,840,647
西安交通大学,北京,理科,2023,637,870,644
西安交通大学,北京,理科,2022,635,890,642
西安交通大学,广东,物理,2024,635,890,643
西安交通大学,广东,物理,2023,632,920,640
西安交通大学,广东,物理,2022,630,940,638
西安交通大学,浙江,综合,2024,645,710,653
西安交通大学,浙江,综合,2023,642,740,650
西安交通大学,浙江,综合,2022,640,760,648
西安交通大学,山东,综合,2024,637,860,645
西安交通大学,山东,综合,2023,634,890,642
西安交通大学,山东,综合,2022,632,910,640
西安交通大学,湖北,物理,2024,633,920,641
西安交通大学,湖北,物理,2023,630,950,638
西安交通大学,湖北,物理,2022,628,970,636
西安交通大学,四川,理科,2024,643,780,650
西安交通大学,四川,理科,2023,640,810,647
西安交通大学,四川,理科,2022,638,830,645
同济大学,北京,理科,2024,638,870,645
同济大学,北京,理科,2023,635,900,642
同济大学,北京,理科,2022,633,920,640
同济大学,广东,物理,2024,633,920,641
同济大学,广东,物理,2023,630,950,638
同济大学,广东,物理,2022,628,970,636
同济大学,浙江,综合,2024,643,750,651
同济大学,浙江,综合,2023,640,780,648
同济大学,浙江,综合,2022,638,800,646
同济大学,山东,综合,2024,635,890,643
同济大学,山东,综合,2023,632,920,640
同济大学,山东,综合,2022,630,940,638
同济大学,湖北,物理,2024,631,950,639
同济大学,湖北,物理,2023,628,980,636
同济大学,湖北,物理,2022,626,1000,634
同济大学,四川,理科,2024,641,810,648
同济大学,四川,理科,2023,638,840,645
同济大学,四川,理科,2022,636,860,643
四川大学,北京,理科,2024,633,950,640
四川大学,北京,理科,2023,630,980,637
四川大学,北京,理科,2022,628,1000,635
四川大学,广东,物理,2024,628,990,636
四川大学,广东,物理,2023,625,1020,633
四川大学,广东,物理,2022,623,1040,631
四川大学,浙江,综合,2024,638,840,646
四川大学,浙江,综合,2023,635,870,643
四川大学,浙江,综合,2022,633,890,641
四川大学,山东,综合,2024,630,960,638
四川大学,山东,综合,2023,627,990,635
四川大学,山东,综合,2022,625,1010,633
四川大学,湖北,物理,2024,626,1020,634
四川大学,湖北,物理,2023,623,1050,631
四川大学,湖北,物理,2022,621,1070,629
四川大学,四川,理科,2024,636,880,643
四川大学,四川,理科,2023,633,910,640
四川大学,四川,理科,2022,631,930,638
山东大学,北京,理科,2024,628,1030,635
山东大学,北京,理科,2023,625,1060,632
山东大学,北京,理科,2022,623,1080,630
山东大学,广东,物理,2024,623,1070,631
山东大学,广东,物理,2023,620,1100,628
山东大学,广东,物理,2022,618,1120,626
山东大学,浙江,综合,2024,633,920,641
山东大学,浙江,综合,2023,630,950,638
山东大学,浙江,综合,2022,628,970,636
山东大学,山东,综合,2024,625,1040,633
山东大学,山东,综合,2023,622,1070,630
山东大学,山东,综合,2022,620,1090,628
山东大学,湖北,物理,2024,621,1100,629
山东大学,湖北,物理,2023,618,1130,626
山东大学,湖北,物理,2022,616,1150,624
山东大学,四川,理科,2024,631,950,638
山东大学,四川,理科,2023,628,980,635
山东大学,四川,理科,2022,626,1000,633
厦门大学,北京,理科,2024,630,990,637
厦门大学,北京,理科,2023,627,1020,634
厦门大学,北京,理科,2022,625,1040,632
厦门大学,广东,物理,2024,625,1040,633
厦门大学,广东,物理,2023,622,1070,630
厦门大学,广东,物理,2022,620,1090,628
厦门大学,浙江,综合,2024,635,890,643
厦门大学,浙江,综合,2023,632,920,640
厦门大学,浙江,综合,2022,630,940,638
厦门大学,山东,综合,2024,627,1010,635
厦门大学,山东,综合,2023,624,1040,632
厦门大学,山东,综合,2022,622,1060,630
厦门大学,湖北,物理,2024,623,1070,631
厦门大学,湖北,物理,2023,620,1100,628
厦门大学,湖北,物理,2022,618,1120,626
厦门大学,四川,理科,2024,633,920,640
厦门大学,四川,理科,2023,630,950,637
厦门大学,四川,理科,2022,628,970,635
北京师范大学,北京,理科,2024,636,900,643
北京师范大学,北京,理科,2023,633,930,640
北京师范大学,北京,理科,2022,631,950,638
北京师范大学,广东,物理,2024,631,960,639
北京师范大学,广东,物理,2023,628,990,636
北京师范大学,广东,物理,2022,626,1010,634
北京师范大学,浙江,综合,2024,641,790,649
北京师范大学,浙江,综合,2023,638,820,646
北京师范大学,浙江,综合,2022,636,840,644
北京师范大学,山东,综合,2024,633,920,641
北京师范大学,山东,综合,2023,630,950,638
北京师范大学,山东,综合,2022,628,970,636
北京师范大学,湖北,物理,2024,629,980,637
北京师范大学,湖北,物理,2023,626,1010,634
北京师范大学,湖北,物理,2022,624,1030,632
北京师范大学,四川,理科,2024,639,840,646
北京师范大学,四川,理科,2023,636,870,643
北京师范大学,四川,理科,2022,634,890,641
南开大学,北京,理科,2024,634,920,641
南开大学,北京,理科,2023,631,950,638
南开大学,北京,理科,2022,629,970,636
南开大学,广东,物理,2024,629,980,637
南开大学,广东,物理,2023,626,1010,634
南开大学,广东,物理,2022,624,1030,632
南开大学,浙江,综合,2024,639,820,647
南开大学,浙江,综合,2023,636,850,644
南开大学,浙江,综合,2022,634,870,642
南开大学,山东,综合,2024,631,950,639
南开大学,山东,综合,2023,628,980,636
南开大学,山东,综合,2022,626,1000,634
南开大学,湖北,物理,2024,627,1010,635
南开大学,湖北,物理,2023,624,1040,632
南开大学,湖北,物理,2022,622,1060,630
南开大学,四川,理科,2024,637,870,644
南开大学,四川,理科,2023,634,900,641
南开大学,四川,理科,2022,632,920,639
北京邮电大学,北京,理科,2024,628,1030,635
北京邮电大学,北京,理科,2023,625,1060,632
北京邮电大学,北京,理科,2022,623,1080,630
北京邮电大学,广东,物理,2024,623,1070,631
北京邮电大学,广东,物理,2023,620,1100,628
北京邮电大学,广东,物理,2022,618,1120,626
北京邮电大学,浙江,综合,2024,633,920,641
北京邮电大学,浙江,综合,2023,630,950,638
北京邮电大学,浙江,综合,2022,628,970,636
北京邮电大学,山东,综合,2024,625,1040,633
北京邮电大学,山东,综合,2023,622,1070,630
北京邮电大学,山东,综合,2022,620,1090,628
北京邮电大学,湖北,物理,2024,621,1100,629
北京邮电大学,湖北,物理,2023,618,1130,626
北京邮电大学,湖北,物理,2022,616,1150,624
北京邮电大学,四川,理科,2024,631,950,638
北京邮电大学,四川,理科,2023,628,980,635
北京邮电大学,四川,理科,2022,626,1000,633
上海财经大学,北京,理科,2024,626,1060,633
上海财经大学,北京,理科,2023,623,1090,630
上海财经大学,北京,理科,2022,621,1110,628
上海财经大学,广东,物理,2024,621,1100,629
上海财经大学,广东,物理,2023,618,1130,626
上海财经大学,广东,物理,2022,616,1150,624
上海财经大学,浙江,综合,2024,631,950,639
上海财经大学,浙江,综合,2023,628,980,636
上海财经大学,浙江,综合,2022,626,1000,634
上海财经大学,山东,综合,2024,623,1070,631
上海财经大学,山东,综合,2023,620,1100,628
上海财经大学,山东,综合,2022,618,1120,626
上海财经大学,湖北,物理,2024,619,1130,627
上海财经大学,湖北,物理,2023,616,1160,624
上海财经大学,湖北,物理,2022,614,1180,622
上海财经大学,四川,理科,2024,629,990,636
上海财经大学,四川,理科,2023,626,1020,633
上海财经大学,四川,理科,2022,624,1040,631
深圳大学,广东,物理,2024,598,1850,606
深圳大学,广东,物理,2023,595,1950,603
深圳大学,广东,物理,2022,593,2050,601
深圳大学,浙江,综合,2024,608,1550,616
深圳大学,浙江,综合,2023,605,1650,613
深圳大学,浙江,综合,2022,603,1750,611
深圳大学,山东,综合,2024,600,1800,608
深圳大学,山东,综合,2023,597,1900,605
深圳大学,山东,综合,2022,595,2000,603
深圳大学,湖北,物理,2024,596,1900,604
深圳大学,湖北,物理,2023,593,2000,601
深圳大学,湖北,物理,2022,591,2100,599
深圳大学,四川,理科,2024,606,1650,613
深圳大学,四川,理科,2023,603,1750,610
深圳大学,四川,理科,2022,601,1850,608
广东工业大学,广东,物理,2024,573,3100,581
广东工业大学,广东,物理,2023,570,3250,578
广东工业大学,广东,物理,2022,568,3400,576
广东工业大学,浙江,综合,2024,583,2550,591
广东工业大学,浙江,综合,2023,580,2700,588
广东工业大学,浙江,综合,2022,578,2850,586
广东工业大学,山东,综合,2024,575,2950,583
广东工业大学,山东,综合,2023,572,3100,580
广东工业大学,山东,综合,2022,570,3250,578
广东工业大学,湖北,物理,2024,571,3200,579
广东工业大学,湖北,物理,2023,568,3350,576
广东工业大学,湖北,物理,2022,566,3500,574
广东工业大学,四川,理科,2024,581,2700,589
广东工业大学,四川,理科,2023,578,2850,586
广东工业大学,四川,理科,2022,576,3000,584
浙江工业大学,浙江,综合,2024,588,2350,596
浙江工业大学,浙江,综合,2023,585,2500,593
浙江工业大学,浙江,综合,2022,583,2650,591
浙江工业大学,广东,物理,2024,576,2950,584
浙江工业大学,广东,物理,2023,573,3100,581
浙江工业大学,广东,物理,2022,571,3250,579
浙江工业大学,山东,综合,2024,578,2800,586
浙江工业大学,山东,综合,2023,575,2950,583
浙江工业大学,山东,综合,2022,573,3100,581
浙江工业大学,湖北,物理,2024,574,3050,582
浙江工业大学,湖北,物理,2023,571,3200,579
浙江工业大学,湖北,物理,2022,569,3350,577
浙江工业大学,四川,理科,2024,584,2550,592
浙江工业大学,四川,理科,2023,581,2700,589
浙江工业大学,四川,理科,2022,579,2850,587
杭州电子科技大学,浙江,综合,2024,583,2550,591
杭州电子科技大学,浙江,综合,2023,580,2700,588
杭州电子科技大学,浙江,综合,2022,578,2850,586
杭州电子科技大学,广东,物理,2024,571,3200,579
杭州电子科技大学,广东,物理,2023,568,3350,576
杭州电子科技大学,广东,物理,2022,566,3500,574
杭州电子科技大学,山东,综合,2024,573,3050,581
杭州电子科技大学,山东,综合,2023,570,3200,578
杭州电子科技大学,山东,综合,2022,568,3350,576
