university,province,subject_type,min_score,min_rank,avg_score
北京大学,北京,理科,685,150,692
北京大学,北京,文科,670,80,678
北京大学,上海,综合,590,200,598
北京大学,广东,物理,680,180,688
北京大学,广东,历史,665,90,673
北京大学,浙江,综合,690,120,698
北京大学,山东,综合,682,160,690
北京大学,湖北,物理,678,170,686
北京大学,湖南,物理,676,180,684
北京大学,四川,理科,688,130,695
清华大学,北京,理科,688,120,695
清华大学,北京,文科,672,70,680
清华大学,上海,综合,595,180,603
清华大学,广东,物理,683,150,691
清华大学,浙江,综合,693,100,701
清华大学,山东,综合,685,140,693
清华大学,湖北,物理,681,150,689
清华大学,四川,理科,690,110,698
复旦大学,北京,理科,675,300,682
复旦大学,上海,综合,582,400,590
复旦大学,广东,物理,670,350,678
复旦大学,浙江,综合,680,250,688
复旦大学,山东,综合,672,320,680
复旦大学,湖北,物理,668,360,676
复旦大学,四川,理科,678,280,685
上海交通大学,北京,理科,673,320,680
上海交通大学,上海,综合,580,420,588
上海交通大学,广东,物理,668,370,676
上海交通大学,浙江,综合,678,270,686
上海交通大学,山东,综合,670,340,678
上海交通大学,湖北,物理,666,380,674
上海交通大学,四川,理科,676,300,683
浙江大学,北京,理科,670,350,677
浙江大学,上海,综合,576,450,584
浙江大学,广东,物理,665,400,673
浙江大学,浙江,综合,675,300,683
浙江大学,山东,综合,667,370,675
浙江大学,湖北,物理,663,410,671
浙江大学,四川,理科,673,330,680
南京大学,北京,理科,665,420,672
南京大学,广东,物理,660,460,668
南京大学,浙江,综合,670,360,678
南京大学,山东,综合,662,440,670
南京大学,湖北,物理,658,480,666
南京大学,四川,理科,668,390,675
武汉大学,北京,理科,655,600,662
武汉大学,广东,物理,650,650,658
武汉大学,浙江,综合,660,500,668
武汉大学,山东,综合,652,620,660
武汉大学,湖北,物理,648,680,656
武汉大学,湖南,物理,646,700,654
武汉大学,四川,理科,658,550,665
华中科技大学,北京,理科,652,650,659
华中科技大学,广东,物理,647,700,655
华中科技大学,浙江,综合,657,540,665
华中科技大学,山东,综合,649,670,657
华中科技大学,湖北,物理,645,720,653
