province,subject_type,year,score,count,cumulative_count,cumulative_ratio
北京,理科,2025,700,5,5,0.01
北京,理科,2025,695,8,13,0.02
北京,理科,2025,690,12,25,0.04
北京,理科,2025,685,18,43,0.07
北京,理科,2025,680,25,68,0.1
北京,理科,2025,675,32,100,0.15
北京,理科,2025,670,40,140,0.21
北京,理科,2025,665,48,188,0.28
北京,理科,2025,660,55,243,0.36
北京,理科,2025,655,62,305,0.45
北京,理科,2025,650,70,375,0.55
北京,理科,2025,645,78,453,0.67
北京,理科,2025,640,85,538,0.79
北京,理科,2025,635,92,630,0.93
北京,理科,2025,630,100,730,1.08
北京,理科,2025,625,108,838,1.24
北京,理科,2025,620,115,953,1.41
北京,理科,2025,615,122,1075,1.59
北京,理科,2025,610,130,1205,1.78
北京,理科,2025,605,138,1343,1.98
北京,理科,2025,600,145,1488,2.2
北京,理科,2025,595,152,1640,2.42
北京,理科,2025,590,160,1800,2.66
北京,理科,2025,585,168,1968,2.91
北京,理科,2025,580,175,2143,3.16
北京,理科,2025,575,182,2325,3.43
北京,理科,2025,570,190,2515,3.71
北京,理科,2025,565,198,2713,4.01
北京,理科,2025,560,205,2918,4.31
北京,理科,2025,555,212,3130,4.62
北京,理科,2025,550,220,3350,4.95
北京,理科,2025,545,228,3578,5.28
北京,理科,2025,540,235,3813,5.63
北京,理科,2025,535,242,4055,5.99
北京,理科,2025,530,250,4305,6.36
北京,理科,2025,525,258,4563,6.74
北京,理科,2025,520,265,4828,7.13
北京,理科,2025,515,272,5100,7.53
北京,理科,2025,510,280,5380,7.95
北京,理科,2025,505,288,5668,8.37
北京,理科,2025,500,295,5963,8.81
北京,理科,2025,495,302,6265,9.25
北京,理科,2025,490,310,6575,9.71
北京,理科,2025,485,318,6893,10.18
北京,理科,2025,480,325,7218,10.66
北京,理科,2025,475,332,7550,11.15
北京,理科,2025,470,340,7890,11.65
北京,理科,2025,465,348,8238,12.16
北京,理科,2025,460,355,8593,12.69
北京,理科,2025,455,362,8955,13.23
北京,理科,2025,450,370,9325,13.77
广东,物理,2025,695,8,8,0.01
广东,物理,2025,690,12,20,0.02
广东,物理,2025,685,18,38,0.04
广东,物理,2025,680,25,63,0.06
广东,物理,2025,675,33,96,0.09
广东,物理,2025,670,42,138,0.13
广东,物理,2025,665,50,188,0.17
广东,物理,2025,660,58,246,0.23
广东,物理,2025,655,66,312,0.29
广东,物理,2025,650,75,387,0.36
广东,物理,2025,645,83,470,0.44
广东,物理,2025,640,92,562,0.52
广东,物理,2025,635,100,662,0.62
广东,物理,2025,630,108,770,0.72
广东,物理,2025,625,116,886,0.83
广东,物理,2025,620,125,1011,0.94
广东,物理,2025,615,133,1144,1.07
广东,物理,2025,610,142,1286,1.2
广东,物理,2025,605,150,1436,1.34
广东,物理,2025,600,158,1594,1.49
广东,物理,2025,595,166,1760,1.64
广东,物理,2025,590,175,1935,1.81
广东,物理,2025,585,183,2118,1.98
广东,物理,2025,580,192,2310,2.16
广东,物理,2025,575,200,2510,2.34
广东,物理,2025,570,208,2718,2.54
广东,物理,2025,565,216,2934,2.74
广东,物理,2025,560,225,3159,2.95
广东,物理,2025,555,233,3392,3.17
广东,物理,2025,550,242,3634,3.4
广东,物理,2025,545,250,3884,3.63
广东,物理,2025,540,258,4142,3.87
广东,物理,2025,535,266,4408,4.12
广东,物理,2025,530,275,4683,4.38
广东,物理,2025,525,283,4966,4.64
广东,物理,2025,520,292,5258,4.91
广东,物理,2025,515,300,5558,5.19
广东,物理,2025,510,308,5866,5.48
广东,物理,2025,505,316,6182,5.78
广东,物理,2025,500,325,6507,6.08
广东,物理,2025,495,333,6840,6.39
广东,物理,2025,490,342,7182,6.71
广东,物理,2025,485,350,7532,7.04
广东,物理,2025,480,358,7890,7.37
