name,province,city,type,tags,website
北京大学,北京,北京,综合,985|211|双一流,https://www.pku.edu.cn
清华大学,北京,北京,理工,985|211|双一流,https://www.tsinghua.edu.cn
中国人民大学,北京,北京,综合,985|211|双一流,https://www.ruc.edu.cn
北京师范大学,北京,北京,师范,985|211|双一流,https://www.bnu.edu.cn
北京航空航天大学,北京,北京,理工,985|211|双一流,https://www.buaa.edu.cn
北京理工大学,北京,北京,理工,985|211|双一流,https://www.bit.edu.cn
中国农业大学,北京,北京,农林,985|211|双一流,https://www.cau.edu.cn
北京科技大学,北京,北京,理工,211|双一流,https://www.ustb.edu.cn
北京交通大学,北京,北京,理工,211|双一流,https://www.bjtu.edu.cn
北京邮电大学,北京,北京,理工,211|双一流,https://www.bupt.edu.cn
中央财经大学,北京,北京,财经,211|双一流,https://www.cufe.edu.cn
对外经济贸易大学,北京,北京,财经,211|双一流,https://www.uibe.edu.cn
北京外国语大学,北京,北京,语言,211|双一流,https://www.bfsu.edu.cn
中国政法大学,北京,北京,政法,211|双一流,https://www.cupl.edu.cn
北京工业大学,北京,北京,理工,211|双一流,https://www.bjut.edu.cn
华北电力大学,北京,北京,理工,211|双一流,https://www.ncepu.edu.cn
中国矿业大学（北京）,北京,北京,理工,211|双一流,https://www.cumtb.edu.cn
中国地质大学（北京）,北京,北京,理工,211|双一流,https://www.cugb.edu.cn
中国石油大学（北京）,北京,北京,理工,211|双一流,https://www.cup.edu.cn
北京化工大学,北京,北京,理工,211|双一流,https://www.buct.edu.cn
北京林业大学,北京,北京,农林,211|双一流,https://www.bjfu.edu.cn
北京中医药大学,北京,北京,医药,211|双一流,https://www.bucm.edu.cn
首都师范大学,北京,北京,师范,双一流,https://www.cnu.edu.cn
北京语言大学,北京,北京,语言,,https://www.blcu.edu.cn
中央民族大学,北京,北京,民族,985|211|双一流,https://www.muc.edu.cn
北京协和医学院,北京,北京,医药,双一流,https://www.pumc.edu.cn
首都医科大学,北京,北京,医药,,https://www.ccmu.edu.cn
北京工商大学,北京,北京,财经,,https://www.btbu.edu.cn
